,Dataset,Charset,Test,Sp1,Sp2,pvalue
0,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Am1,-42
1,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Am1,0.39162517627108895
2,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Am1,-42
3,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Av5,-42
4,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Av5,0.39162517627108895
5,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Av5,-42
6,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Bon2,-42
7,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Bon2,0.7055347312040912
8,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Bon2,-42
9,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Bor2,-42
10,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Bor2,0.39162517627108895
11,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Bor2,-42
12,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Cala2,-42
13,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Cala2,-42
14,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Cala2,-42
15,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Cali1,-42
16,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Cali1,-42
17,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Cali1,-42
18,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Ce3,-42
19,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Ce3,0.39162517627108895
20,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Ce3,-42
21,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Co4,-42
22,Cognato_2001,ef1a_1stpos,MPTMS,Ac1,Co4,0.5724067044708798
23,Cognato_2001,ef1a_1stpos,MPTIS,Ac1,Co4,-42
24,Cognato_2001,ef1a_1stpos,MPTS,Ac1,Con3,-42
